Destination ID,Attraction,Restaurant_Name      ,Location        ,Rating        , Price Range ,Province
595,Nala Ugrachandi,No,No,No,No,3
595,Nala Ugrachandi,No,No,No,No,3
596,Devitar,No,No,No,No,3
596,Devitar,No,No,No,No,3
596,Devitar,No,No,No,No,3
597,Nakhipot,No,No,No,No,3
597,Nakhipot,No,No,No,No,3
597,Nakhipot,No,No,No,No,3
598,Madhyapur Thimi,No,No,No,No,3
598,Madhyapur Thimi,No,No,No,No,3
598,Madhyapur Thimi,No,No,No,No,3
599,Mulpani,No,No,No,No,3
599,Mulpani,No,No,No,No,3
599,Mulpani,No,No,No,No,3
600,Nayapati,No,No,No,No,3
600,Nayapati,No,No,No,No,3
600,Nayapati,No,No,No,No,3
601,Aalapot,No,No,No,No,3
601,Aalapot,No,No,No,No,3
601,Aalapot,No,No,No,No,3
602,Mulkharka,No,No,No,No,3
602,Mulkharka,No,No,No,No,3
602,Mulkharka,No,No,No,No,3
603,Dhunche,No,No,No,No,3
603,Dhunche,No,No,No,No,3
603,Dhunche,No,No,No,No,3
604,Bharkhu,No,No,No,No,3
604,Bharkhu,No,No,No,No,3
604,Bharkhu,No,No,No,No,3
605,Chandanbari,No,No,No,No,3
605,Chandanbari,No,No,No,No,3
605,Chandanbari,No,No,No,No,3
606,Mukharka,No,No,No,No,3
606,Mukharka,No,No,No,No,3
606,Mukharka,No,No,No,No,3
607,Sherpagaon,No,No,No,No,3
607,Sherpagaon,No,No,No,No,3
607,Sherpagaon,No,No,No,No,3
608,Khangjim,No,No,No,No,3
608,Khangjim,No,No,No,No,3
608,Khangjim,No,No,No,No,3
609,Bhalche,No,No,No,No,3
609,Bhalche,No,No,No,No,3
609,Bhalche,No,No,No,No,3
610,Fikuri,No,No,No,No,3
610,Fikuri,No,No,No,No,3
610,Fikuri,No,No,No,No,3
611,Archale,No,No,No,No,3
611,Archale,No,No,No,No,3
611,Archale,No,No,No,No,3
612,Laharepauwa,No,No,No,No,3
612,Laharepauwa,No,No,No,No,3
612,Laharepauwa,No,No,No,No,3
613,Kumpur,No,No,No,No,3
613,Kumpur,No,No,No,No,3
613,Kumpur,No,No,No,No,3
614,Adamtar,No,No,No,No,3
614,Adamtar,No,No,No,No,3
614,Adamtar,No,No,No,No,3
615,Belinitar,No,No,No,No,3
615,Belinitar,No,No,No,No,3
615,Belinitar,No,No,No,No,3
616,Bhutiya,No,No,No,No,3
616,Bhutiya,No,No,No,No,3
616,Bhutiya,No,No,No,No,3
617,Archale,No,No,No,No,3
617,Archale,No,No,No,No,3
617,Archale,No,No,No,No,3
618,Laharepauwa,No,No,No,No,3
618,Laharepauwa,No,No,No,No,3
618,Laharepauwa,No,No,No,No,3
619,Kumpur,No,No,No,No,3
619,Kumpur,No,No,No,No,3
619,Kumpur,No,No,No,No,3
620,Adamtar,No,No,No,No,3
620,Adamtar,No,No,No,No,3
620,Adamtar,No,No,No,No,3
621,Belinitar,No,No,No,No,3
621,Belinitar,No,No,No,No,3
621,Belinitar,No,No,No,No,3
622,Bhutiya,No,No,No,No,3
622,Bhutiya,No,No,No,No,3
622,Bhutiya,No,No,No,No,3
623,Taruka,No,No,No,No,3
623,Taruka,No,No,No,No,3
623,Taruka,No,No,No,No,3
624,Gorsyang,No,No,No,No,3
624,Gorsyang,No,No,No,No,3
624,Gorsyang,No,No,No,No,3
625,Charghare,No,No,No,No,3
625,Charghare,No,No,No,No,3
625,Charghare,No,No,No,No,3
626,Gerkhu,No,No,No,No,3
626,Gerkhu,No,No,No,No,3
626,Gerkhu,No,No,No,No,3
627,Haldekalika,No,No,No,No,3
627,Haldekalika,No,No,No,No,3
627,Haldekalika,No,No,No,No,3
628,Hiramanitar,No,No,No,No,3
628,Hiramanitar,No,No,No,No,3
628,Hiramanitar,No,No,No,No,3
629,Ramche,No,No,No,No,3
629,Ramche,No,No,No,No,3
629,Ramche,No,No,No,No,3
630,Thuman,No,No,No,No,3
630,Thuman,No,No,No,No,3
630,Thuman,No,No,No,No,3
631,Rasuwa,No,No,No,No,3
631,Rasuwa,No,No,No,No,3
631,Rasuwa,No,No,No,No,3
632,Rasuwagadhi,No,No,No,No,3
632,Rasuwagadhi,No,No,No,No,3
632,Rasuwagadhi,No,No,No,No,3
633,Tempu – Helambu Trek,No,No,No,No,3
633,Tempu – Helambu Trek,No,No,No,No,3
633,Tempu – Helambu Trek,No,No,No,No,3
634,Chilime,No,No,No,No,3
634,Chilime,No,No,No,No,3
634,Chilime,No,No,No,No,3
635,Saramthali,No,No,No,No,3
